dc_id,age,name,department
65,62,Elbertina Oaten,Release of information department
66,88,Merill Busen,Physical therapy
67,74,Lena Roskruge,Endoscopy unit
68,70,Elbertina Oaten,On-call room
69,57,Harli Lazarus,Operating room
70,20,Torry O' Kelleher,Neonatal intensive care unit
71,69,Yard Sodo,Release of information department
72,66,Vania Tomasek,On-call room
73,67,Nonie Packman,Endoscopy unit
74,7,Moises Sharpley,Central sterile services department
75,37,Abram Keach,Physical therapy
76,80,Abram Keach,On-call room
77,67,Kelsy Goldsack,Geriatric intensive-care unit
78,22,Moises Sharpley,Post-anesthesia care unit
79,24,Elbertina Oaten,Burn center
80,9,Woodie Dulake,Release of information department
81,50,Carlye Ferreri,On-call room
82,30,Shirl Norsworthy,Release of information department
83,27,Moises Sharpley,Central sterile services department
84,3,Yard Sodo,Post-anesthesia care unit
85,11,Kelsy Goldsack,Hospital pharmacy
86,13,Shirl Norsworthy,Geriatric intensive-care unit
87,28,Carlye Ferreri,Release of information department
88,83,Bjorn Fyrth,Post-anesthesia care unit
89,40,Yard Sodo,Intensive care unit
90,76,Lissi Vassie,Neonatal intensive care unit
91,69,Bjorn Fyrth,"Pediatric intensive care unit,On-call room"
92,23,Lissi Vassie,Burn center
93,71,Anni Farny,Burn center
94,37,Marquita Oty,Burn center
95,21,Harli Lazarus,Pediatric intensive care unit
96,15,Harli Lazarus,"Pediatric intensive care unit,On-call room"
97,42,Reamonn Fyall,Hospital pharmacy
98,88,Federica Wallage,Psychiatric hospital
99,90,Grissel Berwick,Physical therapy
100,69,Lissi Vassie,Physical therapy
101,46,Carlye Ferreri,Endoscopy unit
102,25,Lissi Vassie,Endoscopy unit
103,58,Torry O' Kelleher,Mental health Emergency Rooms
104,29,Nonie Packman,"On-call room, Intensive care unit"
105,86,Nonie Packman,Central sterile services department
106,67,Lena Roskruge,Post-anesthesia care unit
107,5,Anni Farny,Physical therapy
108,31,Elbertina Oaten,"Pediatric intensive care unit,On-call room"
109,22,Rina Yukhnini,"On-call room, Intensive care unit"
110,66,Moises Sharpley,On-call room
111,38,Corilla Mifflin,Post-anesthesia care unit
112,21,Nonie Packman,Post-anesthesia care unit
113,26,Yard Sodo,Post-anesthesia care unit
114,40,Rina Yukhnini,Operating room
115,68,Chaddie Bletso,Mental health Emergency Rooms
116,27,Moises Sharpley,Neonatal intensive care unit
117,75,Carlye Ferreri,Psychiatric hospital
118,6,Nonie Packman,Emergency department
119,73,Torry O' Kelleher,Coronary care unit
120,71,Zorine Mordaunt,Physical therapy
121,65,Harli Lazarus,Operating room
122,17,Yard Sodo,Mental health Emergency Rooms
123,62,Harli Lazarus,Psychiatric hospital
124,79,Vania Tomasek,Release of information department
125,66,Adair Kingzet,Post-anesthesia care unit
126,37,Federica Wallage,Hospital pharmacy
127,85,Shirl Norsworthy,Acute medical unit
128,5,Merill Busen,Burn center
129,33,Zorine Mordaunt,Acute medical unit
130,68,Chaddie Bletso,Neonatal intensive care unit
131,60,Adair Kingzet,Margaret and Charles Juravinski Centre
132,33,Lena Roskruge,Endoscopy unit
133,6,Federica Wallage,Medical records department
134,7,Anni Farny,Endoscopy unit
135,19,Nonie Packman,Medical records department
136,24,Chaddie Bletso,Medical records department
137,56,Moises Sharpley,Margaret and Charles Juravinski Centre
138,52,Federica Wallage,Margaret and Charles Juravinski Centre
139,72,Corilla Mifflin,Geriatric intensive-care unit
140,16,Donella Grammer,Medical records department
141,68,Merill Busen,Physical therapy
142,57,Zorine Mordaunt,Coronary care unit
143,7,Corilla Mifflin,Psychiatric hospital
144,11,Donella Grammer,Post-anesthesia care unit
145,22,Shirl Norsworthy,Pediatric intensive care unit
146,58,Zorine Mordaunt,Geriatric intensive-care unit
147,11,Anni Farny,Neonatal intensive care unit
148,41,Bjorn Fyrth,"Pediatric intensive care unit,On-call room"
149,40,Carlye Ferreri,Release of information department
150,57,Chaddie Bletso,Operating room
151,32,Kelsy Goldsack,Psychiatric hospital
152,5,Bjorn Fyrth,Margaret and Charles Juravinski Centre
153,26,Robbie Grishukhin,Physical therapy
154,12,Anni Farny,Operating room
155,84,Harli Lazarus,Intensive care unit
156,15,Adair Kingzet,Mental health Emergency Rooms
157,3,Abram Keach,Mental health Emergency Rooms
158,42,Moises Sharpley,Margaret and Charles Juravinski Centre
159,12,Harli Lazarus,Neonatal intensive care unit
160,35,Zorine Mordaunt,Psychiatric hospital
161,88,Reamonn Fyall,Medical records department
162,67,Harli Lazarus,Post-anesthesia care unit
163,52,Vania Tomasek,Release of information department
164,72,Corilla Mifflin,Release of information department
165,62,Merill Busen,Acute medical unit
166,89,Lissi Vassie,Central sterile services department
167,35,Harli Lazarus,Burn center
168,83,Corilla Mifflin,Geriatric intensive-care unit
169,86,Federica Wallage,Post-anesthesia care unit
170,14,Marquita Oty,Emergency department
171,13,Anni Farny,Burn center
172,26,Carlye Ferreri,Margaret and Charles Juravinski Centre
173,34,Adair Kingzet,Post-anesthesia care unit
174,83,Vania Tomasek,Intensive care unit
175,85,Anni Farny,Emergency department
176,32,Federica Wallage,"On-call room, Intensive care unit"
177,39,Woodie Dulake,Geriatric intensive-care unit
178,66,Yard Sodo,Emergency department
179,26,Elbertina Oaten,Emergency department
180,83,Elbertina Oaten,On-call room
181,56,Robbie Grishukhin,Post-anesthesia care unit
182,61,Elbertina Oaten,Pediatric intensive care unit
183,11,Corilla Mifflin,"Pediatric intensive care unit,On-call room"
184,31,Elbertina Oaten,Acute medical unit
185,50,Harli Lazarus,Medical records department
186,25,Adair Kingzet,Medical records department
187,64,Torry O' Kelleher,Medical records department
188,53,Woodie Dulake,Emergency department
189,32,Merill Busen,Post-anesthesia care unit
190,57,Corilla Mifflin,Intensive care unit
191,8,Rina Yukhnini,Operating room
192,29,Chaddie Bletso,Pediatric intensive care unit
193,47,Chaddie Bletso,Mental health Emergency Rooms
194,73,Robbie Grishukhin,Margaret and Charles Juravinski Centre
195,51,Robbie Grishukhin,Hospital pharmacy
196,85,Nonie Packman,Endoscopy unit
197,7,Merill Busen,Endoscopy unit
198,68,Lena Roskruge,Coronary care unit
199,50,Zorine Mordaunt,Neonatal intensive care unit
200,32,Merill Busen,Medical records department
201,39,Harli Lazarus,On-call room
202,82,Elbertina Oaten,Operating room
203,28,Torry O' Kelleher,On-call room
204,2,Lissi Vassie,Mental health Emergency Rooms
205,34,Nonie Packman,Geriatric intensive-care unit
206,57,Moises Sharpley,"Pediatric intensive care unit,On-call room"
207,54,Abram Keach,Central sterile services department
208,74,Abram Keach,On-call room
209,50,Reamonn Fyall,Burn center
210,67,Rina Yukhnini,Post-anesthesia care unit
211,26,Moises Sharpley,Geriatric intensive-care unit
212,22,Merill Busen,Emergency department
213,27,Grissel Berwick,Post-anesthesia care unit
214,87,Merill Busen,Endoscopy unit
215,84,Kelsy Goldsack,Medical records department
216,6,Reamonn Fyall,Coronary care unit
217,11,Robbie Grishukhin,Burn center
218,47,Zorine Mordaunt,Coronary care unit
219,47,Harli Lazarus,Burn center
220,54,Adair Kingzet,Coronary care unit
221,45,Harli Lazarus,Emergency department
222,40,Carlye Ferreri,Psychiatric hospital
223,27,Rina Yukhnini,Emergency department
224,41,Marquita Oty,Pediatric intensive care unit
225,28,Zorine Mordaunt,Hospital pharmacy
226,67,Federica Wallage,Burn center
227,49,Moises Sharpley,Intensive care unit
228,76,Moises Sharpley,Post-anesthesia care unit
229,87,Vania Tomasek,Central sterile services department
230,52,Woodie Dulake,"On-call room, Intensive care unit"
231,89,Elbertina Oaten,Operating room
232,9,Woodie Dulake,Pediatric intensive care unit
233,87,Zorine Mordaunt,Endoscopy unit
234,53,Anni Farny,Physical therapy
235,86,Abram Keach,Geriatric intensive-care unit
236,42,Donella Grammer,Coronary care unit
237,62,Kelsy Goldsack,Central sterile services department
238,50,Moises Sharpley,Mental health Emergency Rooms
239,8,Anni Farny,Mental health Emergency Rooms
240,73,Corilla Mifflin,"On-call room, Intensive care unit"
241,5,Adair Kingzet,Psychiatric hospital
242,25,Rina Yukhnini,Acute medical unit
243,84,Adair Kingzet,Operating room
244,25,Nonie Packman,Mental health Emergency Rooms
245,23,Adair Kingzet,Central sterile services department
246,30,Woodie Dulake,Hospital pharmacy
247,13,Adair Kingzet,Pediatric intensive care unit
248,45,Reamonn Fyall,Margaret and Charles Juravinski Centre
249,9,Robbie Grishukhin,Medical records department
250,50,Nonie Packman,Medical records department
251,85,Bjorn Fyrth,Pediatric intensive care unit
252,59,Carlye Ferreri,Burn center
253,29,Abram Keach,Margaret and Charles Juravinski Centre
254,23,Woodie Dulake,Hospital pharmacy
255,73,Woodie Dulake,"Pediatric intensive care unit,On-call room"
256,70,Kelsy Goldsack,Release of information department
257,56,Adair Kingzet,Release of information department
258,48,Shirl Norsworthy,Post-anesthesia care unit
259,6,Shirl Norsworthy,Operating room
260,34,Yard Sodo,Pediatric intensive care unit
261,5,Bjorn Fyrth,Endoscopy unit
262,78,Merill Busen,Pediatric intensive care unit
263,25,Elbertina Oaten,Pediatric intensive care unit
264,21,Vania Tomasek,Psychiatric hospital
265,79,Moises Sharpley,Mental health Emergency Rooms
266,53,Corilla Mifflin,Endoscopy unit
267,74,Corilla Mifflin,Burn center
268,14,Merill Busen,Endoscopy unit
269,66,Lena Roskruge,Intensive care unit
270,12,Reamonn Fyall,Release of information department
271,71,Lena Roskruge,On-call room
272,55,Harli Lazarus,Geriatric intensive-care unit
273,8,Adair Kingzet,Physical therapy
274,14,Kelsy Goldsack,"On-call room, Intensive care unit"
275,12,Lena Roskruge,Hospital pharmacy
276,41,Torry O' Kelleher,Acute medical unit
277,44,Yard Sodo,Post-anesthesia care unit
278,57,Moises Sharpley,Pediatric intensive care unit
279,30,Carlye Ferreri,Margaret and Charles Juravinski Centre
280,89,Marquita Oty,Psychiatric hospital
281,28,Merill Busen,Acute medical unit
282,44,Merill Busen,Operating room
283,84,Bjorn Fyrth,Medical records department
284,26,Donella Grammer,Burn center
285,71,Lena Roskruge,Emergency department
286,80,Federica Wallage,Margaret and Charles Juravinski Centre
287,54,Elbertina Oaten,Margaret and Charles Juravinski Centre
288,20,Anni Farny,Hospital pharmacy
289,62,Carlye Ferreri,Neonatal intensive care unit
290,19,Zorine Mordaunt,Release of information department
291,33,Torry O' Kelleher,Geriatric intensive-care unit
292,30,Chaddie Bletso,Psychiatric hospital
293,82,Bjorn Fyrth,Medical records department
294,18,Federica Wallage,Coronary care unit
295,29,Kelsy Goldsack,"On-call room, Intensive care unit"
296,12,Woodie Dulake,Post-anesthesia care unit
297,42,Federica Wallage,Psychiatric hospital
298,34,Donella Grammer,Burn center
299,51,Nonie Packman,On-call room
300,65,Corilla Mifflin,Hospital pharmacy
301,40,Marquita Oty,Emergency department
302,90,Zorine Mordaunt,Coronary care unit
303,3,Woodie Dulake,Neonatal intensive care unit
304,10,Anni Farny,Margaret and Charles Juravinski Centre
305,89,Nonie Packman,Coronary care unit
306,54,Robbie Grishukhin,Physical therapy
307,63,Harli Lazarus,Physical therapy
308,1,Marquita Oty,Endoscopy unit
309,75,Vania Tomasek,"On-call room, Intensive care unit"
310,10,Reamonn Fyall,Release of information department
311,78,Merill Busen,Hospital pharmacy
312,1,Nonie Packman,Physical therapy
313,83,Anni Farny,Post-anesthesia care unit
314,69,Robbie Grishukhin,Medical records department
315,36,Lena Roskruge,Hospital pharmacy
316,86,Moises Sharpley,Pediatric intensive care unit
317,1,Elbertina Oaten,Mental health Emergency Rooms
318,18,Marquita Oty,Margaret and Charles Juravinski Centre
319,83,Nonie Packman,Operating room
320,55,Donella Grammer,Neonatal intensive care unit
321,68,Reamonn Fyall,Coronary care unit
322,12,Woodie Dulake,Operating room
323,89,Harli Lazarus,Operating room
324,73,Reamonn Fyall,Operating room
325,84,Anni Farny,Emergency department
326,18,Abram Keach,"On-call room, Intensive care unit"
327,35,Lena Roskruge,Operating room
328,65,Nonie Packman,Hospital pharmacy
329,75,Vania Tomasek,Physical therapy
330,81,Torry O' Kelleher,Neonatal intensive care unit
331,55,Robbie Grishukhin,"Pediatric intensive care unit,On-call room"
332,31,Bjorn Fyrth,Medical records department
333,69,Adair Kingzet,Central sterile services department
334,87,Carlye Ferreri,Pediatric intensive care unit
335,15,Corilla Mifflin,Operating room
336,81,Donella Grammer,Medical records department
337,77,Shirl Norsworthy,Burn center
338,56,Zorine Mordaunt,"Pediatric intensive care unit,On-call room"
339,87,Moises Sharpley,Neonatal intensive care unit
340,57,Lena Roskruge,Coronary care unit
341,50,Kelsy Goldsack,Psychiatric hospital
342,53,Carlye Ferreri,Emergency department
343,67,Lissi Vassie,Emergency department
344,16,Anni Farny,Intensive care unit
345,14,Grissel Berwick,Margaret and Charles Juravinski Centre
346,55,Vania Tomasek,Margaret and Charles Juravinski Centre
347,67,Yard Sodo,Operating room
348,58,Harli Lazarus,Operating room
349,33,Torry O' Kelleher,"On-call room, Intensive care unit"
350,82,Yard Sodo,Endoscopy unit
351,66,Chaddie Bletso,Mental health Emergency Rooms
352,52,Harli Lazarus,On-call room
353,75,Federica Wallage,Acute medical unit
354,32,Carlye Ferreri,Psychiatric hospital
355,7,Shirl Norsworthy,On-call room
356,29,Donella Grammer,Endoscopy unit
357,76,Chaddie Bletso,Acute medical unit
358,17,Merill Busen,Acute medical unit
359,10,Torry O' Kelleher,Central sterile services department
360,77,Elbertina Oaten,Medical records department
361,44,Elbertina Oaten,Medical records department
362,7,Kelsy Goldsack,Intensive care unit
363,4,Torry O' Kelleher,Psychiatric hospital
364,73,Kelsy Goldsack,Psychiatric hospital
365,60,Zorine Mordaunt,Central sterile services department
366,86,Donella Grammer,Margaret and Charles Juravinski Centre
367,47,Elbertina Oaten,Central sterile services department
368,10,Lissi Vassie,Acute medical unit
369,57,Marquita Oty,Psychiatric hospital
370,52,Chaddie Bletso,On-call room
371,78,Lissi Vassie,Burn center
372,64,Lena Roskruge,"Pediatric intensive care unit,On-call room"
373,76,Vania Tomasek,Acute medical unit
374,57,Merill Busen,Coronary care unit
375,88,Corilla Mifflin,Physical therapy
376,10,Rina Yukhnini,Emergency department
377,36,Elbertina Oaten,Margaret and Charles Juravinski Centre
378,33,Robbie Grishukhin,Emergency department
379,4,Carlye Ferreri,Psychiatric hospital
380,18,Bjorn Fyrth,Margaret and Charles Juravinski Centre
381,39,Federica Wallage,Central sterile services department
382,82,Torry O' Kelleher,Emergency department
383,1,Reamonn Fyall,Hospital pharmacy
384,5,Vania Tomasek,Central sterile services department
385,76,Shirl Norsworthy,"On-call room, Intensive care unit"
386,8,Chaddie Bletso,Acute medical unit
387,60,Carlye Ferreri,Physical therapy
388,63,Shirl Norsworthy,Physical therapy
389,69,Chaddie Bletso,Acute medical unit
390,76,Moises Sharpley,Medical records department
391,35,Lissi Vassie,Emergency department
392,10,Woodie Dulake,Acute medical unit
393,33,Kelsy Goldsack,Pediatric intensive care unit
394,82,Woodie Dulake,Medical records department
395,56,Yard Sodo,Neonatal intensive care unit
396,31,Harli Lazarus,Post-anesthesia care unit
397,12,Yard Sodo,Emergency department
398,26,Rina Yukhnini,Intensive care unit
399,16,Nonie Packman,Burn center
400,8,Lissi Vassie,Geriatric intensive-care unit
401,34,Zorine Mordaunt,Neonatal intensive care unit
402,35,Adair Kingzet,Burn center
403,11,Federica Wallage,Physical therapy
404,27,Bjorn Fyrth,Psychiatric hospital
405,60,Grissel Berwick,Hospital pharmacy
406,83,Chaddie Bletso,Acute medical unit
407,34,Yard Sodo,Physical therapy
408,5,Chaddie Bletso,Coronary care unit
409,83,Grissel Berwick,Psychiatric hospital
410,54,Elbertina Oaten,Mental health Emergency Rooms
411,60,Nonie Packman,Medical records department
412,80,Lena Roskruge,Physical therapy
413,25,Vania Tomasek,Endoscopy unit
414,40,Robbie Grishukhin,"On-call room, Intensive care unit"
415,85,Elbertina Oaten,Post-anesthesia care unit
416,62,Kelsy Goldsack,Mental health Emergency Rooms
417,33,Adair Kingzet,Pediatric intensive care unit
418,23,Kelsy Goldsack,Hospital pharmacy
419,83,Harli Lazarus,"Pediatric intensive care unit,On-call room"
420,35,Abram Keach,Mental health Emergency Rooms
421,4,Donella Grammer,Central sterile services department
422,83,Vania Tomasek,Central sterile services department
423,13,Robbie Grishukhin,Hospital pharmacy
424,89,Shirl Norsworthy,Endoscopy unit
425,75,Woodie Dulake,Geriatric intensive-care unit
426,82,Nonie Packman,Hospital pharmacy
427,36,Corilla Mifflin,Intensive care unit
428,60,Kelsy Goldsack,Endoscopy unit
429,71,Carlye Ferreri,Post-anesthesia care unit
430,8,Chaddie Bletso,Central sterile services department
431,90,Chaddie Bletso,Geriatric intensive-care unit
432,43,Harli Lazarus,Intensive care unit
433,54,Abram Keach,Operating room
434,58,Lena Roskruge,On-call room
435,35,Abram Keach,Endoscopy unit
436,5,Nonie Packman,Post-anesthesia care unit
437,64,Adair Kingzet,Medical records department
438,6,Bjorn Fyrth,"Pediatric intensive care unit,On-call room"
439,73,Corilla Mifflin,Neonatal intensive care unit
440,43,Merill Busen,Physical therapy
441,14,Torry O' Kelleher,Geriatric intensive-care unit
442,17,Zorine Mordaunt,On-call room
443,15,Reamonn Fyall,On-call room
444,89,Grissel Berwick,Coronary care unit
445,77,Lena Roskruge,"On-call room, Intensive care unit"
446,83,Kelsy Goldsack,Emergency department
447,50,Torry O' Kelleher,Medical records department
448,90,Yard Sodo,Neonatal intensive care unit
449,73,Vania Tomasek,Operating room
450,61,Elbertina Oaten,On-call room
451,48,Reamonn Fyall,Physical therapy
452,87,Reamonn Fyall,Release of information department
453,72,Marquita Oty,On-call room
454,19,Marquita Oty,Margaret and Charles Juravinski Centre
455,71,Shirl Norsworthy,Emergency department
456,61,Grissel Berwick,Geriatric intensive-care unit
457,7,Marquita Oty,Psychiatric hospital
458,6,Donella Grammer,Psychiatric hospital
459,4,Lissi Vassie,Medical records department
460,20,Shirl Norsworthy,Burn center
461,62,Vania Tomasek,Psychiatric hospital
462,90,Rina Yukhnini,Acute medical unit
463,45,Lena Roskruge,On-call room
464,26,Torry O' Kelleher,"On-call room, Intensive care unit"
465,35,Yard Sodo,Hospital pharmacy
466,60,Nonie Packman,Central sterile services department
467,75,Torry O' Kelleher,Margaret and Charles Juravinski Centre
468,53,Woodie Dulake,Margaret and Charles Juravinski Centre
469,43,Adair Kingzet,"Pediatric intensive care unit,On-call room"
470,32,Moises Sharpley,Burn center
471,56,Reamonn Fyall,Mental health Emergency Rooms
472,25,Grissel Berwick,Release of information department
473,24,Shirl Norsworthy,Intensive care unit
474,64,Reamonn Fyall,Margaret and Charles Juravinski Centre
475,73,Zorine Mordaunt,Intensive care unit
476,43,Chaddie Bletso,"Pediatric intensive care unit,On-call room"
477,47,Donella Grammer,Acute medical unit
478,64,Grissel Berwick,Margaret and Charles Juravinski Centre
479,45,Nonie Packman,Psychiatric hospital
480,71,Vania Tomasek,"On-call room, Intensive care unit"
481,57,Elbertina Oaten,Release of information department
482,45,Marquita Oty,Burn center
483,7,Harli Lazarus,Physical therapy
484,45,Grissel Berwick,"Pediatric intensive care unit,On-call room"
485,76,Torry O' Kelleher,Acute medical unit
486,73,Adair Kingzet,Coronary care unit
487,84,Shirl Norsworthy,Margaret and Charles Juravinski Centre
488,67,Robbie Grishukhin,Emergency department
489,9,Yard Sodo,Central sterile services department
490,22,Kelsy Goldsack,"On-call room, Intensive care unit"
491,48,Rina Yukhnini,Release of information department
492,72,Federica Wallage,Psychiatric hospital
493,22,Corilla Mifflin,"On-call room, Intensive care unit"
494,66,Reamonn Fyall,Post-anesthesia care unit
495,50,Federica Wallage,"On-call room, Intensive care unit"
496,15,Harli Lazarus,Geriatric intensive-care unit
497,10,Yard Sodo,Medical records department
498,47,Lena Roskruge,Post-anesthesia care unit
499,60,Chaddie Bletso,Medical records department
500,10,Anni Farny,Mental health Emergency Rooms
501,27,Carlye Ferreri,"On-call room, Intensive care unit"
502,89,Merill Busen,Operating room
503,35,Bjorn Fyrth,Intensive care unit
504,63,Rina Yukhnini,Margaret and Charles Juravinski Centre
505,65,Adair Kingzet,Mental health Emergency Rooms
506,20,Robbie Grishukhin,Mental health Emergency Rooms
507,7,Corilla Mifflin,Geriatric intensive-care unit
508,59,Federica Wallage,"Pediatric intensive care unit,On-call room"
509,37,Vania Tomasek,Physical therapy
510,41,Elbertina Oaten,Central sterile services department
511,20,Lissi Vassie,Hospital pharmacy
512,51,Reamonn Fyall,Central sterile services department
513,66,Merill Busen,Pediatric intensive care unit
514,68,Abram Keach,Release of information department
515,46,Lissi Vassie,Release of information department
516,25,Kelsy Goldsack,Margaret and Charles Juravinski Centre
517,19,Adair Kingzet,On-call room
518,32,Donella Grammer,Neonatal intensive care unit
519,26,Abram Keach,Margaret and Charles Juravinski Centre
520,6,Federica Wallage,Physical therapy
521,83,Federica Wallage,On-call room
522,61,Moises Sharpley,Acute medical unit
523,22,Lissi Vassie,"On-call room, Intensive care unit"
524,13,Nonie Packman,Neonatal intensive care unit
525,42,Bjorn Fyrth,Medical records department
526,69,Lissi Vassie,Burn center
527,81,Bjorn Fyrth,"Pediatric intensive care unit,On-call room"
528,50,Moises Sharpley,Pediatric intensive care unit
529,59,Bjorn Fyrth,Geriatric intensive-care unit
530,27,Anni Farny,Margaret and Charles Juravinski Centre
531,89,Moises Sharpley,Margaret and Charles Juravinski Centre
532,7,Shirl Norsworthy,Medical records department
533,3,Anni Farny,Operating room
534,28,Torry O' Kelleher,Post-anesthesia care unit
535,45,Anni Farny,Psychiatric hospital
536,38,Yard Sodo,Emergency department
537,62,Abram Keach,Release of information department
538,21,Harli Lazarus,Intensive care unit
539,13,Harli Lazarus,Medical records department
540,37,Bjorn Fyrth,Mental health Emergency Rooms
541,38,Yard Sodo,Margaret and Charles Juravinski Centre
542,13,Kelsy Goldsack,Coronary care unit
543,69,Marquita Oty,Margaret and Charles Juravinski Centre
544,71,Anni Farny,Post-anesthesia care unit
545,16,Bjorn Fyrth,Mental health Emergency Rooms
546,1,Reamonn Fyall,Physical therapy
547,51,Corilla Mifflin,Emergency department
548,39,Grissel Berwick,"Pediatric intensive care unit,On-call room"
549,83,Robbie Grishukhin,On-call room
550,44,Chaddie Bletso,Pediatric intensive care unit
551,36,Kelsy Goldsack,Acute medical unit
552,12,Abram Keach,"Pediatric intensive care unit,On-call room"
553,68,Rina Yukhnini,Mental health Emergency Rooms
554,27,Nonie Packman,Central sterile services department
555,72,Robbie Grishukhin,Pediatric intensive care unit
556,7,Elbertina Oaten,Endoscopy unit
557,38,Adair Kingzet,Psychiatric hospital
558,13,Abram Keach,Neonatal intensive care unit
559,72,Kelsy Goldsack,Neonatal intensive care unit
560,40,Abram Keach,Burn center
561,26,Lissi Vassie,Mental health Emergency Rooms
562,84,Lissi Vassie,Acute medical unit
563,29,Lissi Vassie,Burn center
564,50,Grissel Berwick,Pediatric intensive care unit
565,82,Torry O' Kelleher,Intensive care unit
566,88,Torry O' Kelleher,Post-anesthesia care unit
567,70,Rina Yukhnini,Medical records department
568,13,Lissi Vassie,Medical records department
569,17,Chaddie Bletso,Geriatric intensive-care unit
570,49,Torry O' Kelleher,"Pediatric intensive care unit,On-call room"
571,6,Torry O' Kelleher,Medical records department
572,5,Donella Grammer,Release of information department
573,40,Nonie Packman,Coronary care unit
574,66,Federica Wallage,Margaret and Charles Juravinski Centre
575,9,Federica Wallage,Emergency department
576,41,Lena Roskruge,Geriatric intensive-care unit
577,20,Woodie Dulake,Neonatal intensive care unit
578,18,Federica Wallage,On-call room
579,4,Kelsy Goldsack,Intensive care unit
580,41,Moises Sharpley,Neonatal intensive care unit
581,36,Kelsy Goldsack,Medical records department
582,76,Marquita Oty,Mental health Emergency Rooms
583,87,Woodie Dulake,Margaret and Charles Juravinski Centre
584,69,Yard Sodo,Central sterile services department
585,25,Yard Sodo,Coronary care unit
586,76,Vania Tomasek,Intensive care unit
587,64,Vania Tomasek,Psychiatric hospital
588,90,Corilla Mifflin,Neonatal intensive care unit
589,29,Lena Roskruge,Burn center
590,88,Zorine Mordaunt,Neonatal intensive care unit
591,7,Donella Grammer,Post-anesthesia care unit
592,66,Reamonn Fyall,Acute medical unit
593,72,Abram Keach,Burn center
594,12,Shirl Norsworthy,Psychiatric hospital
595,10,Nonie Packman,Geriatric intensive-care unit
596,80,Carlye Ferreri,Psychiatric hospital
597,74,Elbertina Oaten,Margaret and Charles Juravinski Centre
598,1,Elbertina Oaten,On-call room
599,30,Anni Farny,Coronary care unit
600,61,Elbertina Oaten,Psychiatric hospital
601,30,Shirl Norsworthy,Geriatric intensive-care unit
602,83,Moises Sharpley,Margaret and Charles Juravinski Centre
603,56,Vania Tomasek,Intensive care unit
604,16,Lena Roskruge,Medical records department
605,6,Marquita Oty,Neonatal intensive care unit
606,21,Rina Yukhnini,Release of information department
607,77,Anni Farny,Pediatric intensive care unit
608,88,Elbertina Oaten,Hospital pharmacy
609,7,Robbie Grishukhin,Burn center
